V,I,G,P,no_module_fault,fault,partial_shading
139.08442,9.78433,844.58974,1360.8478631386,0,0,0
141.53124,9.76919,844.47073,1382.6455744956,0,0,0
139.10942,9.80367,844.47967,1363.7828475714,0,0,0
136.25227,9.83918,844.53758,1340.6106099386,0,0,0
143.276,9.79798,844.5495,1403.81538248,0,0,0
139.51236,9.79927,844.80094,1367.1192839772,0,0,0
139.87763,9.71774,844.52374,1359.2944401562,0,0,0
141.84601,9.68119,844.35725,1373.2381735519,0,0,0
140.70968,9.72426,844.12561,1368.2975128368,0,0,0
141.25727,9.73497,844.39621,1375.1352857319,0,0,0
138.8563,9.6841,844.32297,1344.69829483,0,0,0
139.45769,9.69435,844.24952,1351.9516570515,0,0,0
140.61624,9.70263,844.22099,1364.3473487112,0,0,0
140.70613,9.72354,844.46817,1368.1616833002,0,0,0
141.28283,9.72879,844.36896,1374.5109836757,0,0,0
139.98828,9.65435,844.62572,1351.495851018,0,0,0
138.88748,9.71048,843.68851,1348.6640967904,0,0,0
140.49183,9.69743,843.76133,1362.4096869969,0,0,0
141.47966,9.72008,843.65615,1375.1936135728,0,0,0
139.22775,9.71018,843.48136,1351.926513495,0,0,0
141.9896,9.72743,843.6866,1381.193894728,0,0,0
141.31279,9.69077,843.80732,1369.4297459483,0,0,0
141.70651,9.69998,843.723,1374.5503128698,0,0,0
143.83128,9.73491,843.80476,1400.1845659848,0,0,0
143.04869,9.71183,843.9308,1389.2645590027,0,0,0
142.61777,9.64158,843.83648,1375.0606388766,0,0,0
142.17489,9.76123,844.23163,1387.8018015147,0,0,0
142.45838,9.79788,843.94975,1395.7901122344,0,0,0
135.23265,9.77617,843.97061,1322.0573759505,0,0,0
141.05739,9.75612,843.90717,1376.1728237268,0,0,0
140.34526,9.78811,844.08239,1373.7148428586,0,0,0
140.14548,9.82391,844.16989,1376.7765824268,0,0,0
139.4829,9.82389,843.89801,1370.264666481,0,0,0
140.88652,9.76505,843.82307,1375.763912126,0,0,0
141.6349,9.77721,843.94208,1384.794160629,0,0,0
145.33876,9.81326,843.88353,1426.2470399576,0,0,0
142.43201,9.87844,844.1899,1407.0060648644,0,0,0
135.41259,9.88335,844.0975,1338.3300213765,0,0,0
140.52731,9.87497,844.13732,1387.7029704307,0,0,0
137.50947,9.88139,843.95592,1358.7847017633,0,0,0
137.98063,9.87544,844.15137,1362.6194327272,0,0,0
138.83023,9.90712,844.19842,1375.4077482376,0,0,0
138.30496,9.92389,844.16563,1372.5232094944,0,0,0
